City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
13,Mawlaik,MM,79.0,clear sky,23.6333,94.4167,AKZ Guest House
14,Cartago,CO,83.95,scattered clouds,4.7464,-75.9117,sammpacale
15,Butaritari,KI,81.68,moderate rain,3.0707,172.7902,Isles Sunset Lodge
17,Jamestown,US,80.53,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
18,Ribeira Brava,PT,75.0,few clouds,32.65,-17.0667,Hotel do Campo
21,Biscarrosse,FR,84.15,clear sky,44.3945,-1.1672,Saint Hubert
26,Wad Madani,SD,82.85,broken clouds,14.4012,33.5199,فندق يوغسلافيا
27,Salalah,OM,79.03,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
32,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
39,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Hilo,US,84.11,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
46,Atuona,PF,76.66,clear sky,-9.8,-139.0333,Villa Enata
48,Broome,US,84.6,clear sky,42.2506,-75.833,Chenango Valley State Park
49,Kavaratti,IN,81.32,broken clouds,10.5669,72.642,Green leaf
51,Batticaloa,LK,80.24,overcast clouds,7.7102,81.6924,Grand Star Guest House
55,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
58,Bethel,US,86.54,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
61,Robertsport,LR,77.11,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
64,Lazaro Cardenas,MX,87.28,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
69,Florence,IT,80.78,clear sky,43.7667,11.25,Hotel Nuova Italia
73,Sibolga,ID,77.14,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
75,Ponta Do Sol,PT,75.0,few clouds,32.6667,-17.1,Hotel do Campo
76,Kelvington,CA,79.65,clear sky,52.1667,-103.5343,Sportsman Motel
78,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
79,Puerto Narino,CO,80.71,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
83,Annau,TM,87.3,clear sky,37.8876,58.516,"Гостиница ""Уссат инженер"""
87,Bengkulu,ID,75.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
