City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Rikitea,PF,-23.1203,-134.9692,68.11,77,100,7.74,light rain
1,Kapaa,US,22.0752,-159.319,82.72,74,20,13.8,few clouds
2,Cherskiy,RU,68.75,161.3,54.59,39,76,4.23,broken clouds
3,Shache,CN,38.4167,77.2406,72.86,45,26,7.81,scattered clouds
4,Ribeira Grande,PT,38.5167,-28.7,73.8,78,20,12.66,few clouds
5,Zalari,RU,53.5584,102.5065,51.19,95,100,3.65,overcast clouds
6,Vaini,TO,-21.2,-175.2,77.16,88,20,6.91,few clouds
7,Te Anau,NZ,-45.4167,167.7167,32.38,91,61,1.1,broken clouds
8,Busselton,AU,-33.65,115.3333,58.84,63,100,1.63,overcast clouds
9,Tabou,CI,4.423,-7.3528,74.8,86,100,9.48,overcast clouds
10,Kizukuri,JP,40.8061,140.3861,71.94,88,100,7.27,moderate rain
11,Port Elizabeth,ZA,-33.918,25.5701,57.49,88,0,8.05,clear sky
12,Punta Arenas,CL,-53.15,-70.9167,32.02,93,40,8.05,scattered clouds
13,Mawlaik,MM,23.6333,94.4167,79.0,86,10,1.9,clear sky
14,Cartago,CO,4.7464,-75.9117,83.95,64,27,2.17,scattered clouds
15,Butaritari,KI,3.0707,172.7902,81.68,81,100,18.5,moderate rain
16,Kruisfontein,ZA,-34.0033,24.7314,50.88,84,87,3.8,overcast clouds
17,Jamestown,US,42.097,-79.2353,80.53,40,0,6.91,clear sky
18,Ribeira Brava,PT,32.65,-17.0667,75.0,82,16,5.37,few clouds
19,Hermanus,ZA,-34.4187,19.2345,54.81,85,100,9.33,overcast clouds
20,Albany,US,42.6001,-73.9662,85.17,37,7,2.44,clear sky
21,Biscarrosse,FR,44.3945,-1.1672,84.15,32,0,8.05,clear sky
22,Ahipara,NZ,-35.1667,173.1667,53.65,70,100,8.97,overcast clouds
23,New Norfolk,AU,-42.7826,147.0587,44.92,83,100,1.99,overcast clouds
24,Barrow,US,71.2906,-156.7887,39.22,75,100,12.66,overcast clouds
25,Fort Nelson,CA,58.8053,-122.7002,72.99,35,40,5.75,scattered clouds
26,Wad Madani,SD,14.4012,33.5199,82.85,60,80,13.33,broken clouds
27,Salalah,OM,17.0151,54.0924,79.03,88,100,8.48,overcast clouds
28,Tasiilaq,GL,65.6145,-37.6368,46.56,76,100,16.53,light rain
29,Hegang,CN,47.4,130.3667,61.29,96,100,4.59,overcast clouds
30,Yellowknife,CA,62.456,-114.3525,61.32,67,100,4.61,overcast clouds
31,Ushuaia,AR,-54.8,-68.3,35.26,60,20,10.36,few clouds
32,Pitimbu,BR,-7.4706,-34.8086,79.39,80,1,14.09,clear sky
33,Tungor,RU,53.3808,142.9564,55.4,85,100,9.98,overcast clouds
34,Severo-Kurilsk,RU,50.6789,156.125,54.03,95,68,10.42,broken clouds
35,Mataura,NZ,-46.1927,168.8643,35.47,97,94,3.71,overcast clouds
36,Bredasdorp,ZA,-34.5322,20.0403,51.84,95,100,3.6,overcast clouds
37,Bluff,NZ,-46.6,168.3333,35.8,65,87,14.99,overcast clouds
38,Cuamba,MZ,-14.8031,36.5372,65.34,59,97,8.1,overcast clouds
39,Puerto Ayora,EC,-0.7393,-90.3518,75.16,94,65,11.99,broken clouds
40,Nome,US,64.5011,-165.4064,60.87,45,0,9.22,clear sky
41,Bansko,BG,41.8383,23.4885,64.47,56,13,3.09,few clouds
42,Lai,TD,9.3952,16.2989,75.49,86,73,3.18,moderate rain
43,Ongandjera,NA,-17.8833,15.0667,62.6,26,0,8.93,clear sky
44,Sayan,PE,-11.1361,-77.1933,71.53,50,0,7.87,clear sky
45,Hilo,US,19.7297,-155.09,84.11,75,40,8.05,scattered clouds
46,Atuona,PF,-9.8,-139.0333,76.66,74,1,12.62,clear sky
47,Codrington,AU,-38.2667,141.9667,49.86,61,100,19.04,light rain
48,Broome,US,42.2506,-75.833,84.6,33,1,8.99,clear sky
49,Kavaratti,IN,10.5669,72.642,81.32,82,73,16.58,broken clouds
50,Lebu,CL,-37.6167,-73.65,46.9,74,59,12.55,broken clouds
51,Batticaloa,LK,7.7102,81.6924,80.24,67,100,9.53,overcast clouds
52,Gravdal,NO,68.1214,13.5031,48.09,100,75,8.05,light rain
53,San Patricio,US,28.017,-97.5169,91.26,59,100,8.1,overcast clouds
54,Kokkola,FI,63.8385,23.1307,58.93,92,0,6.91,clear sky
55,Avarua,CK,-21.2078,-159.775,77.05,65,75,13.8,broken clouds
56,Maraa,BR,-1.8333,-65.3667,78.58,83,99,3.4,overcast clouds
57,Qaanaaq,GL,77.484,-69.3632,50.47,63,79,8.79,broken clouds
58,Bethel,US,41.3712,-73.414,86.54,46,75,5.75,broken clouds
59,Cabo San Lucas,MX,22.8909,-109.9124,91.71,43,0,6.91,clear sky
60,Saint-Philippe,RE,-21.3585,55.7679,65.21,83,60,11.81,light rain
61,Robertsport,LR,6.7533,-11.3686,77.11,82,100,12.28,overcast clouds
62,Vitim,RU,59.4511,112.5578,59.4,99,100,4.68,heavy intensity rain
63,Santa Maria,BR,-29.6842,-53.8069,65.5,94,0,5.75,clear sky
64,Lazaro Cardenas,MX,17.9583,-102.2,87.28,64,100,9.08,overcast clouds
65,East London,ZA,-33.0153,27.9116,60.57,74,3,12.17,clear sky
66,Lasa,IT,46.6166,10.7002,74.28,85,8,5.28,clear sky
